step,preco,acao,saldo,lucro_acumulado
506,2.4199,CLOSE,9281.450116702386,-718.5498832976136
507,2.413,CLOSE,9281.450116702386,-718.5498832976136
508,2.4243,BUY,9276.809391644036,-723.1906083559643
509,2.4518,BUY,9465.94111346623,-534.0588865337704
510,2.433,BUY,9609.681222051098,-390.3187779489017
512,2.3905,SELL,9396.455922617988,-603.5440773820119
513,2.3707,SELL,9463.720407590838,-536.2795924091624
514,2.3097,CLOSE,9512.468264677904,-487.5317353220962
516,2.4195,CLOSE,9507.767686427469,-492.232313572531
517,2.3994,CLOSE,9507.767686427469,-492.232313572531
518,2.4037,CLOSE,9507.767686427469,-492.232313572531
519,2.3921,SELL,9503.013802584255,-496.98619741574475
520,2.3992,SELL,9681.460545464193,-318.5394545358067
522,2.4,CLOSE,9668.937967016478,-331.06203298352193
523,2.4228,BUY,9659.351991131678,-340.648008868322
524,2.4323,CLOSE,9419.609564943368,-580.3904350566318
525,2.4379,CLOSE,9414.777472901782,-585.222527098218
526,2.4519,SELL,9410.07008416533,-589.9299158346694
527,2.4526,SELL,9492.70535484288,-507.2946451571206
528,2.4414,SELL,9632.580666672684,-367.41933332731605
529,2.4506,SELL,9741.014265756887,-258.98573424311326
530,2.4314,CLOSE,9782.130351654983,-217.86964834501669
532,2.4581,CLOSE,9777.422962918532,-222.577037081468
533,2.4315,SELL,9772.534251437073,-227.46574856292682
534,2.4099,SELL,9711.663135714622,-288.3368642853784
535,2.4295,SELL,9661.533981590253,-338.46601840974654
536,2.4442,HOLD,9592.606394669243,-407.39360533075705
539,2.4537,SELL,9653.925092124946,-346.0749078750541
540,2.5037,BUY,9817.339386156811,-182.6606138431889
541,2.5417,BUY,9891.041307316884,-108.95869268311617
542,2.5089,BUY,9825.026089590683,-174.9739104093169
543,2.4878,BUY,9992.777088059314,-7.222911940685663
544,2.47,BUY,9985.994702676486,-14.005297323514242
546,2.4356,BUY,10070.548440449084,70.5484404490835
547,2.4487,BUY,10013.124244207798,13.124244207798256
548,2.4711,BUY,10075.522189729823,75.52218972982337
549,2.4034,BUY,10045.679694045377,45.67969404537689
550,2.4296,CLOSE,10014.932880309889,14.932880309888787
551,2.384,CLOSE,10010.021755054182,10.021755054181995
552,2.3923,HOLD,10010.021755054182,10.021755054181995
554,2.3743,SELL,10005.016744176655,5.016744176655266
556,2.31,HOLD,10040.002522177618,40.00252217761772
558,2.3151,CLOSE,9894.607081134662,-105.39291886533829
559,2.2804,BUY,9884.657269222007,-115.34273077799298
560,2.2535,BUY,9773.35452607946,-226.6454739205401
561,2.2433,SELL,9686.712052054228,-313.2879479457715
562,2.2764,SELL,9633.7647750355,-366.23522496449914
564,2.1845,CLOSE,9707.44973555323,-292.5502644467706
565,2.1981,CLOSE,9702.603956637744,-297.396043362256
566,2.2093,CLOSE,9702.603956637744,-297.396043362256
568,2.2144,HOLD,9702.603956637744,-297.396043362256
570,2.211,SELL,9697.752654659425,-302.2473453405746
