data,par,preco,adx,sinal,confianca
22:47:07,1764294427.682783,YALAUSDT,0.04437,17.9,NEUTRO,44.8
22:47:09,1764294429.397281,MUSDT,1.2234,10.1,NEUTRO,43.4
22:47:10,1764294430.851004,CLOUSDT,0.3263,13.8,NEUTRO,42.9
22:47:12,1764294432.336541,SQDUSDT,0.08443,34.6,NEUTRO,36.3
22:47:13,1764294433.781991,TRADOORUSDT,1.98,21.0,NEUTRO,43.2
22:47:16,1764294436.69948,MUSDT,1.2208,10.1,NEUTRO,42.3
22:47:18,1764294438.152842,CLOUSDT,0.3263,13.8,NEUTRO,42.9
22:47:19,1764294439.608328,SQDUSDT,0.08449,34.6,NEUTRO,36.7
22:47:21,1764294441.072081,TRADOORUSDT,1.981,21.0,NEUTRO,42.9
22:47:23,1764294443.979001,MUSDT,1.2196,10.1,NEUTRO,43.0
22:47:25,1764294445.492325,CLOUSDT,0.3263,13.8,NEUTRO,42.8
22:47:26,1764294446.950725,SQDUSDT,0.0847,34.6,NEUTRO,37.3
22:47:28,1764294448.41823,TRADOORUSDT,1.982,21.0,NEUTRO,43.3
22:47:29,1764294449.904763,YALAUSDT,0.04432,17.8,NEUTRO,40.1
22:47:31,1764294451.396036,MUSDT,1.2199,10.1,NEUTRO,43.1
22:47:32,1764294452.845489,CLOUSDT,0.3264,13.8,NEUTRO,43.0
22:47:34,1764294454.341484,SQDUSDT,0.08487,34.6,NEUTRO,36.7
22:47:35,1764294455.792521,TRADOORUSDT,1.98,21.0,NEUTRO,43.2
22:47:37,1764294457.236338,YALAUSDT,0.0441,17.8,NEUTRO,48.0
22:47:38,1764294458.769852,MUSDT,1.2205,10.1,NEUTRO,42.5
22:47:40,1764294460.232566,CLOUSDT,0.3263,13.8,NEUTRO,42.2
22:47:41,1764294461.699451,SQDUSDT,0.08466,34.6,NEUTRO,37.7
22:47:43,1764294463.275169,TRADOORUSDT,1.985,21.0,NEUTRO,43.0
22:47:44,1764294464.725843,YALAUSDT,0.04406,17.7,NEUTRO,49.8
22:47:46,1764294466.212575,MUSDT,1.2209,10.1,NEUTRO,42.4
22:47:47,1764294467.681605,CLOUSDT,0.3262,13.8,NEUTRO,41.9
22:47:49,1764294469.14083,SQDUSDT,0.08521,34.6,NEUTRO,39.5
22:47:50,1764294470.584729,TRADOORUSDT,1.987,21.0,NEUTRO,43.1
22:47:52,1764294472.047046,YALAUSDT,0.04409,17.7,NEUTRO,49.2
22:47:53,1764294473.49154,MUSDT,1.2209,10.1,NEUTRO,42.4
22:47:54,1764294474.95283,CLOUSDT,0.3261,13.8,NEUTRO,42.5
22:47:56,1764294476.440091,SQDUSDT,0.08544,34.7,NEUTRO,40.2
22:47:57,1764294477.887839,TRADOORUSDT,1.986,21.0,NEUTRO,43.3
22:47:59,1764294479.335466,YALAUSDT,0.0441,17.7,NEUTRO,49.2
22:48:00,1764294480.796662,MUSDT,1.2211,10.1,NEUTRO,42.4
22:48:02,1764294482.245533,CLOUSDT,0.3262,13.8,NEUTRO,41.3
22:48:03,1764294483.73293,SQDUSDT,0.08529,34.7,NEUTRO,40.3
22:48:05,1764294485.198856,TRADOORUSDT,1.99,21.0,NEUTRO,42.8
22:48:06,1764294486.67478,YALAUSDT,0.04407,17.7,NEUTRO,49.8
22:48:08,1764294488.132138,MUSDT,1.2276,10.1,NEUTRO,44.4
22:48:09,1764294489.589158,CLOUSDT,0.3269,13.8,NEUTRO,40.8
22:48:11,1764294491.034531,SQDUSDT,0.08497,34.7,NEUTRO,39.7
22:48:12,1764294492.487307,TRADOORUSDT,1.986,21.0,NEUTRO,43.3
22:48:14,1764294494.194168,YALAUSDT,0.04413,17.7,NEUTRO,42.6
22:48:15,1764294495.671148,MUSDT,1.2227,10.1,NEUTRO,42.0
22:48:18,1764294498.57489,SQDUSDT,0.08489,34.7,NEUTRO,39.8
22:48:20,1764294500.047091,TRADOORUSDT,1.988,21.0,NEUTRO,43.3
22:48:21,1764294501.54688,YALAUSDT,0.04408,17.7,NEUTRO,49.3
22:48:22,1764294502.990687,MUSDT,1.2236,10.1,NEUTRO,43.1
22:48:25,1764294505.94093,SQDUSDT,0.08507,34.7,NEUTRO,41.0
22:48:27,1764294507.420621,TRADOORUSDT,1.986,21.0,NEUTRO,43.3
22:48:28,1764294508.912616,YALAUSDT,0.044,17.6,NEUTRO,50.3
22:48:30,1764294510.365356,MUSDT,1.2229,10.1,NEUTRO,42.0
22:48:33,1764294513.359948,SQDUSDT,0.0854,34.7,NEUTRO,40.7
22:48:34,1764294514.811284,TRADOORUSDT,1.984,21.0,NEUTRO,42.2
22:48:36,1764294516.269924,YALAUSDT,0.04404,17.6,NEUTRO,50.2
22:48:37,1764294517.746958,MUSDT,1.2236,10.1,NEUTRO,43.1
22:48:40,1764294520.701526,SQDUSDT,0.08501,34.7,NEUTRO,40.2
22:48:42,1764294522.165245,TRADOORUSDT,1.979,21.0,NEUTRO,43.0
22:48:43,1764294523.61451,YALAUSDT,0.04409,17.6,NEUTRO,48.3
22:48:45,1764294525.068989,MUSDT,1.2227,10.1,NEUTRO,41.8
22:48:48,1764294528.032164,SQDUSDT,0.08516,34.7,NEUTRO,40.9
22:48:49,1764294529.474686,TRADOORUSDT,1.981,21.0,NEUTRO,42.9
22:48:50,1764294530.972633,YALAUSDT,0.044,17.6,NEUTRO,46.4
22:48:52,1764294532.423504,MUSDT,1.2238,10.1,NEUTRO,41.8
22:48:55,1764294535.405808,SQDUSDT,0.08522,34.7,NEUTRO,42.4
22:48:56,1764294536.858237,TRADOORUSDT,1.98,21.0,NEUTRO,43.2
22:48:58,1764294538.311396,YALAUSDT,0.04406,17.6,NEUTRO,45.6
22:48:59,1764294539.775287,MUSDT,1.2216,10.1,NEUTRO,41.4
22:49:02,1764294542.703098,SQDUSDT,0.08524,34.7,NEUTRO,42.9
22:49:04,1764294544.205157,TRADOORUSDT,1.98,21.0,NEUTRO,43.2
22:49:05,1764294545.655045,YALAUSDT,0.04414,17.6,NEUTRO,43.9
22:49:07,1764294547.109402,MUSDT,1.2261,10.1,NEUTRO,43.8
22:49:10,1764294550.028781,SQDUSDT,0.08543,34.7,NEUTRO,43.2
22:49:11,1764294551.483194,TRADOORUSDT,1.993,21.0,NEUTRO,43.0
22:49:13,1764294553.030631,YALAUSDT,0.04408,17.6,NEUTRO,46.0
22:49:14,1764294554.585,MUSDT,1.2263,10.1,NEUTRO,44.2
22:49:17,1764294557.515471,SQDUSDT,0.08569,34.7,NEUTRO,43.2
22:49:19,1764294559.003964,TRADOORUSDT,1.989,21.0,NEUTRO,43.3
22:49:20,1764294560.466307,YALAUSDT,0.04414,17.6,NEUTRO,45.9
22:49:21,1764294561.975183,MUSDT,1.2275,10.1,NEUTRO,45.9
22:49:25,1764294565.037984,SQDUSDT,0.08546,34.7,NEUTRO,44.0
22:49:26,1764294566.528143,TRADOORUSDT,1.99,21.0,NEUTRO,43.1
22:49:28,1764294568.035748,YALAUSDT,0.04416,17.6,NEUTRO,44.8
22:49:29,1764294569.519813,MUSDT,1.2419,10.1,NEUTRO,46.3
22:49:32,1764294572.437777,SQDUSDT,0.08568,34.7,NEUTRO,43.6
